name,hab
Água Verde,19346
Badenfurt,9838
Boa Vista,1895
Bom Retiro,1006
Centro,4042
Glória,5302
Salto,5132
Escola Agrícola,14423
Fidélis,6246
Fortaleza,15363
Fortaleza Alta,5855
Garcia,15612
Itoupava Central,38048
Itoupava Norte,16957
Itoupava Seca,6581
Itoupavazinha,20779
Jardim Blumenau,40438
Nova Esperança,4030
Passo Manso,12086
Ponta Aguda,10158
Progresso,14704
Ribeirão Fresco,1732
Salto do Norte,9586
Salto Weissbach,7376
Testo Salto,8824
Tribess,9494
Valparaíso,5041
Velha,19374
Velha Central,22783
Velha Grande,4183
Victor Konder,6567
Vila Formosa,754
Vila Itoupava,1972
Vila Nova,11830
Vorstadt,4965
