name,y,x,label,is_public
Abrigo Municipal de Blumenau – AMBLU,-26.893854750087783,-49.10054748250414,psicossocial,yes
CRAS Região I – Velha,-26.910752970092958,-49.12647492426713,psicossocial,yes
CRAS Região II – Garcia,-26.962639697488942,-49.0644463126558,psicossocial,yes
CRAS Região III – Fortaleza,-26.87830645087032,-49.065542583788165,psicossocial,yes
CRAS Região IV – Centro,-26.901362027058557,-49.04324415495173,psicossocial,yes
CRAS Região V – Escola Agrícola,-26.894713277258116,-49.09909041077428,psicossocial,yes
CRAS Região VI – Itoupavas,-26.82032819832163,-49.090321362526865,psicossocial,yes
CRAS Região VII – Fidélis,-26.84846715780652,-49.067683761643856,psicossocial,yes
CREAS I – Victor Konder,-26.91114918775166,-49.0736756520022,psicossocial,yes
CREAS II – Progresso,-26.961507207879905,-49.06959611185006,psicossocial,yes
Centro POP – Serviço Especializado,-26.89251215371434,-49.12120898193882,psicossocial,yes
