name,y,x,is_public,label
CEI Bruno Schreiber  ,-26.993391059906127,-49.1055166718775,yes,creche
CEI Elisa Hort  ,-26.984875063053977,-49.0757598030416,yes,creche
CEI Hercilia Krug  ,-26.97141430582796,-49.090732735567165,yes,creche
CEI Profª. Raquel Wisintainer Soares  ,-26.993383336223644,-49.09459408770159,yes,creche
CEI Vereador Ewaldo Moritz  ,-26.976047693499943,-49.077719831876955,yes,creche
CEI Luiz Vargas  ,-26.945614274829698,-49.07384196071281,yes,creche
CEI Paulo Tallmann  ,-26.95333753947237,-49.069345234328864,yes,creche
CEI Brandina Buerger  ,-26.94799464373803,-49.07925586071283,yes,creche
CEI Dario João Vieira  ,-26.953854962601415,-49.07432827420768,yes,creche
CEI Frieda Zadrozny  ,-26.962184687232156,-49.06390606071256,yes,creche
CEI Osvaldo Deschamps  ,-26.964284026830516,-49.05588433187721,yes,creche
CEI Prof. Emiliano Stolf  ,-26.96403881391556,-49.06178167051737,yes,creche
CEI Antônio José Curtipassi  ,-26.932035511253424,-49.05464524352803,yes,creche
CEI Ingo Wolfgang Hering  ,-26.938172029664287,-49.05041193556807,yes,creche
CEI Profª. Martinha Régis Moretto  ,-26.93877484819255,-49.05896498770298,yes,creche
CEI Profª. Teresa Raquel S. de Araújo  ,-26.927991940803178,-49.04596776071337,yes,creche
CEI Herondina Helena da Silva  ,-26.90404015985206,-49.048796503044095,yes,creche
CEI Pedro Kraus  ,-26.91846044910368,-49.04730660304355,yes,creche
CEI Profª. Leonides Westarb  ,-26.901976792242603,-49.040761033724074,yes,creche
CEI Profª. Maria Zimmermann  ,-26.89883951995752,-49.064845145374285,yes,creche
CEI Augusto Koester  ,-26.90023521075927,-49.08803784906427,yes,creche
CEI Dr. Wilson Gomes Santiago  ,-26.90469382317372,-49.08553241653916,yes,creche
CEI Hilca Piazera Schnaider  ,-26.91052773342893,-49.0976169705191,yes,creche
CEI Evalino Roth  ,-26.904029054289555,-49.10285391838398,yes,creche
CEI Manoel da Luz Rampelotti  ,-26.89304114308642,-49.09867011838425,yes,creche
CEI Marita Deeke Sasse  ,-26.89452457694913,-49.1073870901293,yes,creche
CEI Bertha Müller  ,-26.874301144425264,-49.110437372364906,yes,creche
CEI Prof. Anselmo A. Hillesheim  ,-26.878872503169283,-49.10002749935477,yes,creche
CEI Profª Evelina E Eichstaedt  ,-26.866227506701225,-49.11435775887022,yes,creche
CEI Profª. Tereza Amélia E. Augsburger  ,-26.86684956170679,-49.12126481654027,yes,creche
CEI Erwin Pasold  ,-26.871910371690095,-49.133862871735566,yes,creche
CEI Maike Andresen Deeke  ,-26.88313489055476,-49.139905878978816,yes,creche
CEI Anton Max Artur Spranger  ,-26.855659349429192,-49.154485245710156,yes,creche
EEI Adélia Cardoso/EBM Hella Altenburg  ,-26.886385399907923,-49.10447372100537,yes,creche
CEI Olga Karsten  ,-26.933632696556934,-49.12941455438214,yes,creche
CEI Profª Elisabete Nunes Anderle  ,-26.90410120102094,-49.15307446670112,yes,creche
CEI Erica Braun  ,-26.909814578858214,-49.10268939868455,yes,creche
CEI João Gervaz Neto  ,-26.90972694334004,-49.12979209119908,yes,creche
CEI Maria Salete Strauch  ,-26.914321536193395,-49.1374020359826,yes,creche
CEI Thiago Anzini  ,-26.90532075291622,-49.12663143862713,yes,creche
CEI Alberto Stein  ,-26.913065832307993,-49.11311196055263,yes,creche
CEI Oswaldo Bürger  ,-26.9162991919398,-49.09552166473914,yes,creche
CEI José Dickmann  ,-26.898020039790307,-49.148758959828626,yes,creche
CEI Profª Elzira Hornburg  ,-26.91512193113274,-49.15134445390147,yes,creche
CEI Wally Serena Brandes  ,-26.90910689641076,-49.14010753492004,yes,creche
EEI Iesa M. Waldrich/EBM Prof. Helena M. N. W.,-26.931787064964375,-49.10398688968369,yes,creche
CEI Dr. Arão Rebello  ,-26.95115642163071,-49.13343823588338,yes,creche
CEI Pastor Nirton dos Santos  ,-26.927360545014096,-49.12139252071293,yes,creche
CEI Prof. Adélio Carlini  ,-26.943619537340112,-49.130247931919875,yes,creche
CEI Monteiro Lobato  ,-26.93672451444248,-49.14992079508502,yes,creche
CEI Olga Brehmer  ,-26.934381426855435,-49.12959541489716,yes,creche
CEI Prof. João Bertoldo Petry  ,-26.934797443102706,-49.130183375103954,yes,creche
