name,y,x,is_public,label
EBM Alberto Stein,-26.91284688,-49.11288907,yes,escola
EBM Almirante Tamandaré,-26.90249437,-49.04887559,yes,escola
EBM Anita Garibaldi,-26.82379946,-49.08908667,yes,escola
EBM Bilíngue Annemarie Techentin,-26.91543381,-49.15018425,yes,escola
EBM Duque de Caxias,-26.76669104,-49.07981115,yes,escola
EBM Bilíngue Gustavo Richard,-26.89119058,-49.05600887,yes,escola
EBM Bilíngue Olga Rutzen,-26.86052956,-49.09656611,yes,escola
EBM Bilíngue Pastor Faulhaber,-26.92633924,-49.05065442,yes,escola
EBM Bilíngue Patrícia Helena F. Pegorim,-26.85224463,-49.04706055,yes,escola
EBM Bilíngue Prof. Fernando Ostermann,-26.89895527,-49.06536992,yes,escola
EBM Bilíngue Prof. João Joaquim Fronza,-26.85922946,-49.13789115,yes,escola
EBM Bilíngue Prof. Oscar Unbehaun,-26.91071634,-49.12303615,yes,escola
EBM Bilíngue Prof. Rodolfo Hollenweger,-26.83051649,-49.06154503,yes,escola
EBM Bilíngue Profª. Alice Thiele,-26.93812378,-49.05657777,yes,escola
EBM Bilíngue Profª. Helena M. N. Winckler,-26.93211618,-49.10501587,yes,escola
EBM Bilíngue Profª. Hella Altenburg,-26.88689305,-49.10485379,yes,escola
EBM Bilíngue Profª. Nemésia Margarida,-26.87928578,-49.16869966,yes,escola
EBM Bilíngue Profª. Norma Dignart Huber,-26.90360311,-49.10335273,yes,escola
EBM Bilíngue Tiradentes e Profª Júlia Strzalkowska,-26.93789689,-49.06334973,yes,escola
EBM Conselheiro Mafra,-26.95144399,-49.13320885,yes,escola
EBM Felipe Schmidt,-26.85510872,-49.11556305,yes,escola
EBM Francisco Lanser,-26.87245506,-49.04975539,yes,escola
EBM General Lúcio Esteves,-26.89243875,-49.09852939,yes,escola
EBM Henrique Alfarth,-26.97143317,-49.09185988,yes,escola
EBM Lauro Müller,-26.88481902,-49.14020175,yes,escola
EBM Leoberto Leal,-26.86585133,-49.12066496,yes,escola
EBM Lore Sita Bollmann,-26.80547526,-49.08286173,yes,escola
EBM Machado de Assis,-26.89243723,-49.08585542,yes,escola
