name,y,x,is_public,label
AGF Haroldo Bachmann,-26.9337586147653,-49.131035939608300,yes,ponto_saude
ESF Walter Reiter I II III,-26.9084556749548,-49.143679037760500,yes,ponto_saude
ESF Adelina M. Brueckheimer,-26.9329415176937,-49.141895324266300,yes,ponto_saude
ESF Arão Rebello I e II,-26.9500723116582,-49.13274082241680,yes,ponto_saude
ESF Afonso Balsini,-26.9370901046484,-49.14962418193720,yes,ponto_saude
ESF Paulo Pedro Mayerle I e II,-26.9024407928766,-49.15022628378720,yes,ponto_saude
ESF Valério José Steil I II III,-26.9183851171164,-49.09132141077330,yes,ponto_saude
ESF Nair Neves Pereira,-26.9172033458441,-49.15227815310230,yes,ponto_saude
ESF Waldemar Felski I e II,-26.9198705802881,-49.106235012622200,yes,ponto_saude
AGF Marilene G. de Aguiar,-26.8935929727076,-49.10296280432540,yes,ponto_saude
ESF Augusto César Viana I e II,-26.9101965887778,-49.12009958021530,yes,ponto_saude
ESF Áurea Pfuetzenreiter I e II,-26.8927883202174,-49.1280771261166,yes,ponto_saude
ESF Edemar Eduardo Winkler,-26.9038394328372,-49.103532841458400,yes,ponto_saude
ESF Ivanilde Bernardi,-26.9051345990346,-49.110054212622600,yes,ponto_saude
ESF Augusto Antonio Schweigert,-26.8867060881447,-49.11763151262340,yes,ponto_saude
ESF Jovino Cardoso I e III,-26.9140257737844,-49.1034646396092,yes,ponto_saude
AGF Irmã Marta E. Kunzmann,-26.9609609839585,-49.069288139607500,yes,ponto_saude
ESF Thamara Katryne Rodrigues Schmidt I e II,-26.9933545363835,-49.092617308921800,yes,ponto_saude
ESF Benedito C. Rocha,-26.9761188084063,-49.077706826113600,yes,ponto_saude
ESF Dr. Wilson Santhiago,-26.9543138365781,-49.086077512601400,yes,ponto_saude
ESF Frei João Maria,-26.9652511780793,-49.06391578008720,yes,ponto_saude
ESF Enfermeira Tânia Leite,-26.9971317213958,-49.068770939606200,yes,ponto_saude
ESF Marli Batschauer,-26.9463986244833,-49.06594895495010,yes,ponto_saude
ESF Silvana Witte,-26.9865115676283,-49.08234696066970,yes,ponto_saude
ESF Marco Francisco Barth,-26.9712699862534,-49.091891997278200,yes,ponto_saude
ESF Maria Schlindwein Baumgartner I e II,-26.9673466622678,-49.05198361608340,yes,ponto_saude
UAS Léo de Carvalho,-26.9389357437939,-49.059043056915000,yes,ponto_saude
AGF Mário Jorge Vieira,-26.8688749334008,-49.06106987436400,yes,ponto_saude
ESF Ângelo de Caetano I e II,-26.8494331577417,-49.073290053887900,yes,ponto_saude
ESF Hasso Müller I,-26.877254712892,-49.05880627179290,yes,ponto_saude
ESF Evacir Barth,-26.8809907509296,-49.05511431420350,yes,ponto_saude
ESF Germano Puff,-26.8731002370603,-49.08815524451120,yes,ponto_saude
ESF Gustavo Tribess I e II,-26.8698562553464,-49.049806439610500,yes,ponto_saude
ESF Lothar Franz,-26.8722754030663,-49.083521281113000,yes,ponto_saude
ESF Norberto Sprung,-26.830044168755,-49.06122755310530,yes,ponto_saude
ESF Zerbert Kraupp,-26.8803797865702,-49.045518503074600,yes,ponto_saude
AGF Guilherme Jensen,-26.7996945718101,-49.08669919728400,yes,ponto_saude
ESF Alfredo Hoess,-26.724975317201,-49.06829916283630,yes,ponto_saude
ESF Wilhelm Theodor Schurmann,-26.8343527501989,-49.08362979728290,yes,ponto_saude
ESF Jackson Roberto Carl,-26.8156747502744,-49.08696240892810,yes,ponto_saude
ESF Franz Zimdars,-26.7052354109453,-49.10208929543840,yes,ponto_saude
ESF Gustavo Froehlisch Barroso,-26.8194985553946,-49.08668502427000,yes,ponto_saude
ESF Martin Volles I e II,-26.8331655350791,-49.107019768447400,yes,ponto_saude
AGF Dr. Diogo Vergara,-26.8789208306925,-49.13997589617140,yes,ponto_saude
ESF Armando Odebrecht I e II,-26.8530573798414,-49.12029030313320,yes,ponto_saude
ESF Frederico Jensen,-26.8600987430592,-49.09577833826920,yes,ponto_saude
ESF Geraldo Schmidt Sobrinho,-26.8656905809107,-49.12016001565090,yes,ponto_saude
ESF Gilson Piva I,-26.8540381273437,-49.09433006844660,yes,ponto_saude
ESF Harold Ewald,-26.85714727468,-49.10950422611770,yes,ponto_saude
ESF Tereza Leszcowicz,-26.8543273315404,-49.1320335307759,yes,ponto_saude
AGF Heinz Schrader,-26.9084796338429,-49.04712439728050,yes,ponto_saude
ESF Afonso Rabe,-26.9043370004222,-49.04862059553310,yes,ponto_saude
ESF Glodoaldo Lino de Amorim I e II,-26.9324692603808,-49.05489533285710,yes,ponto_saude
ESF Otto Bartsch Neto,-26.9077515553431,-49.06731259442570,yes,ponto_saude
ESF Orlando Margarida,-26.8909923513671,-49.07365734168920,yes,ponto_saude
ESF Pedro Krauss,-26.9119971444187,-49.05050936140180,yes,ponto_saude
ESF Rubens Belisário Vedes,-26.9017682163286,-49.04822888952140,yes,ponto_saude
ESF Rudolfo Oswald Hesse,-26.9280030459554,-49.04076437161180,yes,ponto_saude
